domain	DLM002	DLM003	NLM001	NLM005	NLM021
TIGR01448	8993	9456	11396	3940	12358
TIGR01449	10839	12588	6746	5384	10160
TIGR04010	0	0	112	0	0
TIGR01440	452	224	414	0	579
TIGR01441	745	74	205	85	604
TIGR01444	192	356	102	0	395
TIGR01446	620	60	320	142	627
TIGR01447	7410	10504	8730	6949	10683
TIGR01505	1937	566	762	568	2701
TIGR02830	650	0	208	63	798
TIGR02831	0	0	0	0	17
TIGR02832	217	0	94	0	483
TIGR02833	850	0	364	0	584
TIGR02834	37	0	65	0	0
TIGR02835	8474	4580	6430	2138	10573
TIGR02836	2983	34	1363	730	4496
TIGR02837	742	0	372	312	966
TIGR02838	824	40	284	318	1061
TIGR02839	852	148	482	210	1194
TIGR03497	23553	27522	19346	14559	59362
TIGR00369	1647	3698	1607	2025	3940
TIGR00362	9949	12882	8140	3421	15633
TIGR02948	16623	47958	14399	19445	33670
TIGR00363	1640	346	1480	594	2635
TIGR02944	1942	384	499	775	2590
TIGR02945	1127	2764	1423	1481	1998
TIGR02947	6651	80116	6117	9758	17504
TIGR02941	12521	8366	8825	3129	15995
TIGR02943	2814	5128	1616	2732	3275
TIGR01177	680	60	239	0	479
TIGR03569	1243	6050	1680	836	3449
TIGR03568	4621	7060	4450	4316	4785
TIGR03565	0	0	0	0	45
TIGR01170	4505	2776	5858	460	8089
TIGR04247	0	0	0	152	343
TIGR03560	0	0	0	0	42
TIGR04243	4389	3060	3808	4315	7416
TIGR03498	23771	26724	19198	16142	58450
TIGR04088	0	0	0	0	69
TIGR01172	4180	6000	2865	3235	6854
TIGR04083	7278	10396	8450	6471	11742
TIGR04082	1163	1490	669	140	5487
TIGR04086	612	116	294	156	211
TIGR04085	1411	2658	1750	1919	3705
TIGR04084	4794	482	841	1262	3610
TIGR00090	2238	3402	1646	1774	3030
TIGR00091	3637	4446	3678	2864	5832
TIGR00092	8713	10322	8551	6162	18127
TIGR00093	3836	4392	3273	3151	7952
TIGR00094	0	0	161	0	0
TIGR00095	3094	3914	2506	1113	4860
TIGR00096	4945	10698	3805	4984	8838
TIGR00097	7214	9270	5011	4384	9642
TIGR00099	16034	14932	9703	9272	16128
TIGR02768	12281	9336	11786	5875	20186
TIGR02769	129025	139090	94601	93129	231639
TIGR02760	0	418	99	0	152
TIGR02763	92	0	0	0	0
TIGR02764	5468	5420	4593	5242	8915
TIGR02767	918	148	964	596	1298
TIGR00546	467	1044	184	805	1489
TIGR01901	179	36	23	67	0
TIGR00544	4182	7812	4166	3966	9374
TIGR00545	2211	2848	379	1127	870
TIGR00543	7593	10906	8101	6190	10713
TIGR00540	228	438	258	0	64
TIGR02215	0	0	0	50	0
TIGR00548	0	0	58	0	0
TIGR00549	2707	6274	3707	1927	7507
TIGR01902	2440	4664	4135	1932	5116
TIGR01158	488	2192	406	751	1001
TIGR01907	0	0	46	71	289
TIGR02499	298	0	144	0	304
TIGR02494	5150	7080	3578	3709	7081
TIGR02495	3237	6202	3341	2223	5175
TIGR02492	2230	0	978	550	1721
TIGR02493	6866	9448	4969	4302	9627
TIGR02490	2592	112	1817	1090	2930
TIGR02491	4195	4096	3928	1951	6757
TIGR00403	700	3050	1877	1289	1456
TIGR03345	22838	27916	17179	16325	56512
TIGR00401	835	3054	470	1381	1823
TIGR00400	6387	8070	3812	6918	16242
TIGR00407	5200	5824	5762	4178	10189
TIGR00406	3868	5324	3404	3349	6853
TIGR00409	7406	10676	5519	4464	11769
TIGR00408	14351	21980	10925	10510	21744
TIGR03705	9736	12398	9882	8185	19526
TIGR03704	3525	3860	3165	2018	5261
TIGR03707	1254	316	570	843	1956
TIGR03706	3080	1496	3324	3907	3290
TIGR03701	1316	598	189	300	709
TIGR03700	800	1684	174	848	1917
TIGR03703	0	0	164	0	0
TIGR03702	5266	9660	7020	3802	8019
TIGR03709	1355	96	605	931	1999
TIGR03708	2342	398	1042	947	2813
TIGR01844	31873	104022	37988	52242	75415
TIGR01845	26072	93892	34548	36153	67497
TIGR01846	141252	146026	106202	95571	248743
TIGR01840	419	340	0	28	520
TIGR01842	137710	143738	106364	93813	242348
TIGR01843	5480	12268	2630	5793	7759
TIGR03729	0	40	0	0	0
TIGR02382	0	0	55	0	0
TIGR02383	141	76	45	26	258
TIGR02380	4277	7622	1701	2180	3714
TIGR02381	1298	820	561	200	961
TIGR02386	26490	30042	12250	7671	63539
TIGR02387	17257	28450	14736	11888	42689
TIGR02384	2335	1512	835	1372	2950
TIGR02385	1263	1118	1047	430	1215
TIGR02388	7967	11174	5163	3782	20232
TIGR02389	2515	4776	2255	1678	7264
TIGR00717	13972	17796	12610	7479	26194
TIGR03018	6437	9742	7983	8611	12991
TIGR00715	1591	2238	995	1798	2295
TIGR02543	193	180	61	111	366
TIGR00713	12722	13742	7206	9338	21841
TIGR00712	1326	7200	513	3807	5256
TIGR02546	23580	27016	19179	14707	56184
TIGR00710	2011	6464	3487	3665	4628
TIGR03011	0	0	52	0	0
TIGR03010	0	0	54	0	0
TIGR03013	14292	22578	5959	15721	16241
TIGR03012	0	0	67	0	0
TIGR03015	0	0	0	0	128
TIGR00476	1026	48	0	0	2292
TIGR00719	997	840	410	421	1916
TIGR00718	2455	5696	2581	2289	5651
TIGR03728	1073	232	281	189	332
TIGR03228	0	0	98	0	0
TIGR01938	1448	5392	1884	2328	3162
TIGR01939	6018	10656	5517	4862	12641
TIGR01930	3158	764	1286	255	7103
TIGR01931	0	0	153	0	0
TIGR01932	1296	0	1235	74	2789
TIGR01933	3113	1088	3040	153	5787
TIGR01934	4107	7444	4391	3659	9732
TIGR01935	187	0	80	0	204
TIGR01936	3532	9414	4489	3812	9940
TIGR01937	6389	13766	7180	6197	17775
TIGR03374	2531	5158	1785	4105	6646
TIGR03375	157206	162398	115063	102820	269145
TIGR03376	5286	7768	4325	2776	8701
TIGR03377	602	5296	920	371	3395
TIGR03371	13804	14284	9159	11820	25147
TIGR03372	13239	15160	7364	8878	21993
TIGR03378	36	2534	0	90	1224
TIGR03379	669	3542	2967	183	1460
TIGR03172	366	0	88	0	483
TIGR03173	11544	6548	6813	4608	9485
TIGR03170	0	0	46	0	0
TIGR04112	371	106	0	396	230
TIGR03176	539	598	189	360	609
TIGR03177	296	206	529	175	380
TIGR03175	502	0	0	0	0
TIGR04115	6011	5272	4344	2229	5570
TIGR03178	7951	11028	5992	6592	11973
TIGR03724	340	570	56	115	558
TIGR03640	3105	1948	3339	1486	4407
TIGR04035	179	38	34	0	257
TIGR03641	2758	1628	2801	1447	4180
TIGR02828	146	0	69	0	125
TIGR02153	5673	15474	4450	9160	12782
TIGR02152	16844	24380	15375	8854	24322
TIGR02151	219	152	103	195	142
TIGR02150	401	1864	567	0	237
TIGR01628	1242	5202	865	2443	3178
TIGR02156	0	0	84	0	0
TIGR02155	5005	13340	3373	8644	14824
TIGR02154	80763	113130	60222	69776	123442
TIGR01625	5235	14638	5165	10249	12581
TIGR02159	431	1000	271	891	759
TIGR02158	0	0	56	0	0
TIGR01620	0	0	30	0	0
TIGR01621	9241	16978	10004	7581	18366
TIGR01622	1213	7700	803	2853	3075
TIGR00511	854	1834	400	80	416
TIGR00979	3357	12284	5511	4664	5334
TIGR00978	7915	7248	4314	2449	12656
TIGR00977	8421	12404	7084	8922	17458
TIGR00976	978	1096	693	2637	4396
TIGR00975	1269	2294	712	1906	908
TIGR00974	4967	5870	2312	4886	9933
TIGR00973	10780	16502	7817	7351	20297
TIGR00972	133594	140152	94689	93340	229621
