	NOM026	DOM025	NLM021	NLM031	DLM005	NOM008	NOM017	DOM012	DOM017	DOM005
TIGR01957_clust0.7_1	932	1645	2522	3328	870	3943	3336	601	2289	2064
TIGR02712_clust0.7_1	0	2083	3703	1586	655	6714	0	306	1163	4272
TIGR02712_clust0.7_6	1115	0	1631	1422	176	0	651	112	383	158
TIGR02712_clust0.7_10	528	212	5165	94	1675	6218	112	234	4052	2821
TIGR02712_clust0.7_11	656	1469	3365	3399	808	2725	0	175	1194	2463
TIGR02712_clust0.7_13	1978	3789	4024	4863	716	7927	602	285	2490	892
TIGR02712_clust0.7_14	1978	5872	7727	6449	1371	14641	0	591	3653	5164
TIGR02712_clust0.7_77	916	565	3389	1548	388	1713	0	182	1530	1876
TIGR02712_clust0.7_16	0	265	103	64	398	860	0	193	1685	5054
TIGR00152_clust0.7_2	426	124	428	207	346	954	42	69	0	0
TIGR00152_clust0.7_15	0	161	228	134	214	150	0	77	820	1353
TIGR00741_clust0.7_2	835	1891	2814	2370	990	2702	0	210	1522	1137
TIGR03131_clust0.7_7	791	2871	4357	5242	1151	6423	4808	628	3417	2255
TIGR00090_clust0.7_1	504	583	1687	2148	624	2031	44	196	1059	1659
TIGR00092_clust0.7_0	2906	4243	8147	7193	3797	12451	14299	1635	3210	8227
TIGR00092_clust0.7_1	1832	124	507	441	725	363	737	1747	818	0
TIGR00092_clust0.7_3	439	969	1675	1475	790	2618	3805	336	734	1753
TIGR00092_clust0.7_9	591	279	667	1062	69	0	433	335	326	154
TIGR00092_clust0.7_11	1706	71	1047	895	0	0	981	278	580	468
TIGR00092_clust0.7_14	574	206	422	1039	192	457	823	0	61	0
TIGR00880_clust0.7_33	80	813	654	1207	181	1569	0	71	909	976
TIGR00880_clust0.7_2	751	123	882	359	278	906	30	64	739	0
TIGR00880_clust0.7_7	554	137	1625	775	596	1293	560	193	307	1194
TIGR00880_clust0.7_10	51	669	272	490	36	676	0	0	87	45
TIGR00880_clust0.7_11	525	845	1512	698	432	1250	51	57	394	1321
TIGR00880_clust0.7_174	572	254	1308	598	432	640	51	193	1618	1112
TIGR00880_clust0.7_50	404	137	1461	737	435	1027	31	106	237	1111
