	DLM005	DOM005	DOM012	DOM017	DOM025	NLM021	NLM031	NOM008	NOM017	NOM026
TIGR01957_clust0.7_1	870	2064	601	2289	1645	2522	3328	3943	3336	932
TIGR02712_clust0.7_1	655	4272	306	1163	2083	3703	1586	6714	0	0
TIGR02712_clust0.7_6	176	158	112	383	0	1631	1422	0	651	1115
TIGR02712_clust0.7_10	1675	2821	234	4052	212	5165	94	6218	112	528
TIGR02712_clust0.7_11	808	2463	175	1194	1469	3365	3399	2725	0	656
TIGR02712_clust0.7_13	716	892	285	2490	3789	4024	4863	7927	602	1978
TIGR02712_clust0.7_14	1371	5164	591	3653	5872	7727	6449	14641	0	1978
TIGR02712_clust0.7_77	388	1876	182	1530	565	3389	1548	1713	0	916
TIGR02712_clust0.7_16	398	5054	193	1685	265	103	64	860	0	0
TIGR00152_clust0.7_2	346	0	69	0	124	428	207	954	42	426
TIGR00152_clust0.7_15	214	1353	77	820	161	228	134	150	0	0
TIGR00741_clust0.7_2	990	1137	210	1522	1891	2814	2370	2702	0	835
TIGR03131_clust0.7_7	1151	2255	628	3417	2871	4357	5242	6423	4808	791
TIGR00090_clust0.7_1	624	1659	196	1059	583	1687	2148	2031	44	504
TIGR00092_clust0.7_0	3797	8227	1635	3210	4243	8147	7193	12451	14299	2906
TIGR00092_clust0.7_1	725	0	1747	818	124	507	441	363	737	1832
TIGR00092_clust0.7_3	790	1753	336	734	969	1675	1475	2618	3805	439
TIGR00092_clust0.7_9	69	154	335	326	279	667	1062	0	433	591
TIGR00092_clust0.7_11	0	468	278	580	71	1047	895	0	981	1706
TIGR00092_clust0.7_14	192	0	0	61	206	422	1039	457	823	574
TIGR00880_clust0.7_33	181	976	71	909	813	654	1207	1569	0	80
TIGR00880_clust0.7_2	278	0	64	739	123	882	359	906	30	751
TIGR00880_clust0.7_7	596	1194	193	307	137	1625	775	1293	560	554
TIGR00880_clust0.7_10	36	45	0	87	669	272	490	676	0	51
TIGR00880_clust0.7_11	432	1321	57	394	845	1512	698	1250	51	525
TIGR00880_clust0.7_174	432	1112	193	1618	254	1308	598	640	51	572
TIGR00880_clust0.7_50	435	1111	106	237	137	1461	737	1027	31	404
TIGR00880_clust0.7_221	255	0	94	0	112	387	190	831	62	659
TIGR01020_clust0.7_1	148	297	285	533	165	1956	1347	0	686	3407
TIGR01020_clust0.7_4	1540	3114	751	4301	2470	5410	5109	6651	3875	1405
TIGR02214_clust0.7_17	1912	7721	1295	6411	4256	7456	7922	10656	269	2731
TIGR02214_clust0.7_26	355	331	572	620	67	729	215	704	40	581
TIGR02214_clust0.7_13	116	1572	57	1910	958	916	3685	1800	85	473
TIGR02214_clust0.7_191	187	0	286	0	67	729	215	427	40	581
TIGR03906_clust0.7_8	275	337	106	1114	479	89	438	1423	55	578
TIGR03906_clust0.7_1	880	4120	106	1316	1325	3851	4262	5611	93	1129
TIGR03906_clust0.7_2	198	274	262	1140	209	1530	2104	0	740	3046
TIGR03906_clust0.7_9	208	0	570	504	111	928	891	2496	1358	354
TIGR01962_clust0.7_2	522	1252	217	1128	1587	2673	2367	2452	119	547
TIGR01962_clust0.7_4	522	1140	136	898	541	2098	1275	2290	86	460
TIGR01800_clust0.7_0	303	572	425	1618	339	2933	2426	545	1801	3165
TIGR01800_clust0.7_6	2598	6115	1045	2930	2716	5475	4558	7909	8551	1108
TIGR01900_clust0.7_0	1153	4519	347	2305	2426	3956	4289	6532	210	1801
TIGR00005_clust0.7_0	1037	5615	397	5087	983	5876	5744	6915	209	1441
TIGR00005_clust0.7_8	492	3303	299	1708	1780	1509	3226	3501	59	626
TIGR00005_clust0.7_69	129	1585	78	477	138	64	22	192	0	0
TIGR00005_clust0.7_81	1317	4142	607	918	1707	3136	2334	6964	7540	1275
TIGR02627_clust0.7_9	137	114	375	865	0	419	1154	0	188	1473
TIGR02627_clust0.7_3	806	0	40	1454	321	3447	904	2853	168	2013
TIGR02627_clust0.7_12	699	5094	268	2239	2039	2087	4947	5466	15	219
TIGR02627_clust0.7_28	476	2695	78	1687	294	703	122	257	0	0
TIGR02252_clust0.7_9	447	0	0	1638	113	1178	444	943	20	725
TIGR02252_clust0.7_2	507	0	182	708	139	1375	502	620	81	619
TIGR02252_clust0.7_5	330	3183	0	1362	966	301	1171	999	0	105
TIGR00342_clust0.7_0	65	383	299	653	169	1219	1086	65	628	1810
TIGR03992_clust0.7_32	361	651	51	700	228	467	998	1256	0	0
TIGR03992_clust0.7_70	249	609	190	1206	0	2465	2213	113	852	4543
TIGR03992_clust0.7_6	0	0	441	276	70	67	666	106	53	533
TIGR03992_clust0.7_7	630	2727	140	2130	1776	1779	3727	3117	0	309
TIGR03992_clust0.7_140	269	0	109	1250	94	803	191	735	38	350
TIGR03992_clust0.7_13	978	1504	52	240	505	636	2047	2628	1761	734
TIGR03992_clust0.7_77	350	1694	88	577	96	271	403	176	0	0
TIGR03992_clust0.7_15	391	343	486	0	210	67	211	1326	1420	44
TIGR03992_clust0.7_80	0	92	0	145	36	181	86	228	68	427
TIGR03992_clust0.7_17	520	7759	1174	4443	675	2292	778	3674	6454	2097
TIGR03992_clust0.7_20	211	330	163	522	0	1119	936	0	397	1138
