domain	DLM005	DOM005	DOM012	DOM017	DOM025	NLM021	NLM031	NOM008	NOM017	NOM026
TIGR01957	1051	2398	966	2289	1838	2560	3398	4053	3336	1560
TIGR02712	8625	21480	7706	16809	10744	29799	19747	30247	6706	17040
TIGR00152	1236	3388	2194	2267	1996	3320	3809	3337	1902	2906
TIGR00741	2359	1964	2379	1975	2473	3727	3305	2734	529	3275
TIGR03131	3189	4007	2498	5143	3590	7938	7965	8624	7026	4185
TIGR00090	2159	2133	1562	1617	1276	3030	3649	3059	4391	2240
TIGR00092	6581	12252	7365	7004	7439	18127	15366	17398	23753	10601
TIGR00880	10420	19704	4490	10514	9818	9691	8401	12852	12096	19285
TIGR03239	342	1032	487	0	1072	396	290	20	110	2098
TIGR01020	2552	4000	3139	5627	3456	9045	7351	6795	4995	7185
TIGR03906	5905	13979	4294	7338	3975	14540	13202	12555	9716	15294
TIGR01962	1045	1766	998	974	2067	2780	2440	2547	2087	2447
TIGR01800	5094	7989	4418	6226	4303	13847	11508	10640	12958	11002
TIGR02214	12459	20564	14797	16008	9950	28129	30667	22903	28296	30930
TIGR01900	3461	8523	6419	4295	4144	6736	5051	8510	11712	7015
TIGR00005	11215	21321	11958	16819	12209	26101	28332	28477	32967	18102
TIGR02627	5665	15660	5241	9677	4024	13092	15379	9985	14115	11030
TIGR02252	2432	4058	1508	5631	1738	4767	3896	4860	1557	3794
TIGR00342	758	823	2902	1623	1415	3797	3713	1931	2386	4780
TIGR03992	13426	26645	14469	21210	9586	22889	22481	22635	28515	27386
TIGR00087	2241	3560	1495	2297	2040	2387	3946	4819	6907	3075
TIGR01316	9838	18731	7440	16024	10346	25980	23714	22646	35700	18079
TIGR00914	64201	236001	28173	134395	93440	196312	146179	276924	40289	75255
TIGR00698	3692	8746	2484	5175	3506	7603	4572	6439	6066	4310
TIGR02195	4499	5099	4522	6238	1817	3986	2676	5739	9282	7440
TIGR01981	4219	8015	3931	6599	4004	14606	8470	11985	24752	5188
