name  group  reference  annotation  counts
DLM005  t2d  tutorial_data/contigs/protseq/DLM005.fasta  tutorial_data/TIGRFAM/DLM005.hmmout  tutorial_data/mapping_results2/DLM005.fastq.tab
DOM005  t2d  tutorial_data/contigs/protseq/DOM005.fasta  tutorial_data/TIGRFAM/DOM005.hmmout  tutorial_data/mapping_results2/DOM005.fastq.tab
DOM012  t2d  tutorial_data/contigs/protseq/DOM012.fasta  tutorial_data/TIGRFAM/DOM012.hmmout  tutorial_data/mapping_results2/DOM012.fastq.tab
DOM017  t2d  tutorial_data/contigs/protseq/DOM017.fasta  tutorial_data/TIGRFAM/DOM017.hmmout  tutorial_data/mapping_results2/DOM017.fastq.tab
DOM025  t2d  tutorial_data/contigs/protseq/DOM025.fasta  tutorial_data/TIGRFAM/DOM025.hmmout  tutorial_data/mapping_results2/DOM025.fastq.tab
NLM021  control  tutorial_data/contigs/protseq/NLM021.fasta  tutorial_data/TIGRFAM/NLM021.hmmout  tutorial_data/mapping_results2/NLM021.fastq.tab
NLM031  control  tutorial_data/contigs/protseq/NLM031.fasta  tutorial_data/TIGRFAM/NLM031.hmmout  tutorial_data/mapping_results2/NLM031.fastq.tab
NOM008  control  tutorial_data/contigs/protseq/NOM008.fasta  tutorial_data/TIGRFAM/NOM008.hmmout  tutorial_data/mapping_results2/NOM008.fastq.tab
NOM017  control  tutorial_data/contigs/protseq/NOM017.fasta  tutorial_data/TIGRFAM/NOM017.hmmout  tutorial_data/mapping_results2/NOM017.fastq.tab
NOM026  control  tutorial_data/contigs/protseq/NOM026.fasta  tutorial_data/TIGRFAM/NOM026.hmmout  tutorial_data/mapping_results2/NOM026.fastq.tab
