domain	DLM005	DOM005	DOM012	DOM017	DOM025	NLM021	NLM031	NOM008	NOM017	NOM026
TIGR04346	265	0	99	0	0	0	0	74	0	0
TIGR04000	0	0	123	0	0	138	0	0	0	0
TIGR01957	1051	2493	780	2083	1838	2560	3398	4447	3336	1595
TIGR02712	8625	510	7379	0	10682	29799	19747	1525	6706	872
TIGR00152	1236	3593	2194	2268	1996	3320	3809	3357	1902	2942
TIGR00741	2180	2007	2186	2043	2473	3727	3305	2739	529	3169
TIGR03131	3189	276	2498	0	3590	7938	7965	0	7026	171
TIGR00090	2159	2525	1562	1617	1276	3030	3649	3077	4391	2113
TIGR00092	6581	10026	7255	6530	7405	18127	15366	14736	23753	9291
TIGR00880	10420	6822	4490	3581	9608	9691	8401	8246	12096	5224
TIGR03239	342	275	487	0	1072	396	290	0	110	619
1	179	0	1690	2640	2444	1559	0	0	0	1410
3	0	0	0	77	0	0	0	0	0	0
2	0	0	1195	1306	149	0	0	0	48	346
TIGR02897	137	0	257	0	462	0	0	0	0	0
TIGR01020	2552	0	3139	0	3456	9045	7351	0	4995	0
TIGR01286	0	0	185	0	0	0	0	0	0	0
TIGR03906	5905	0	4294	0	3975	14540	13202	0	9716	0
TIGR01962	1045	3950	534	1726	2067	2780	2440	6788	2087	3497
TIGR01800	5094	7600	4418	6045	4303	13452	11508	10749	12958	9474
TIGR02214	12459	13367	14699	8941	9950	28129	30667	18717	28296	15657
TIGR01900	3461	87	6419	222	4144	6736	5051	678	11712	0
TIGR00005	10340	21227	11060	15825	10009	25873	28204	25151	32750	17387
TIGR02627	5665	13131	5241	6220	4024	13092	15379	9486	14115	6692
TIGR02252	2432	259	1508	1691	1738	4767	3896	945	1509	729
TIGR02742	0	0	60	0	61	0	0	0	0	0
TIGR02621	360	0	0	0	0	404	281	0	724	0
TIGR00342	758	853	2719	1683	1415	3797	3713	1992	2386	4874
TIGR03992	13426	8449	14212	6807	9428	22523	22481	9121	28515	5588
TIGR00087	2241	3669	1410	1921	2040	2387	3946	4847	6907	3180
TIGR01720	0	214	0	0	0	0	0	0	0	0
TIGR01316	9838	9937	7440	7817	10346	25980	23714	12417	35700	10134
TIGR00548	135	207	622	0	118	0	0	0	0	364
TIGR00914	64201	77007	27555	41893	91753	196312	146179	77793	40289	27854
TIGR00698	3692	8910	2484	5186	3506	6805	4572	6478	6066	4432
TIGR02195	4499	4654	4522	4658	1633	3986	2676	4549	9282	4842
TIGR01981	4219	5825	3931	4568	4004	14606	8470	9078	24752	3977
